,Time,Currency,Headline,Actual,Forecast,Previous,DayOfWeek,YYYYMMDD,identifier
16599,12:30:00,CAD,Trade Balance (Jun),0.64B,-2.00B,-1.61B,Tuesday,20240806,CAD16599
16601,14:00:00,CAD,Ivey PMI n.s.a (Jul),55.3,,62.4,Wednesday,20240807,CAD16601
16602,14:00:00,CAD,Ivey PMI (Jul),57.6,60,62.5,Wednesday,20240807,CAD16602
16605,12:30:00,CAD,Avg hourly wages Permanent employee (Jul),0.052,,0.056,Friday,20240809,CAD16605
16606,12:30:00,CAD,Employment Change (Jul),-2.8K,26.9K,-1.4K,Friday,20240809,CAD16606
16607,12:30:00,CAD,Full Employment Change (Jul),61.6K,,-3.4K,Friday,20240809,CAD16607
16608,12:30:00,CAD,Part Time Employment Change (Jul),-64.4K,,1.9K,Friday,20240809,CAD16608
16609,12:30:00,CAD,Participation Rate (Jul),0.65,,0.653,Friday,20240809,CAD16609
16610,12:30:00,CAD,Unemployment Rate (Jul),0.064,0.065,0.064,Friday,20240809,CAD16610
16611,19:30:00,CAD,CFTC CAD speculative net positions,-181.6K,,-196.3K,Friday,20240809,CAD16611
16613,12:30:00,CAD,Building Permits (MoM) (Jun),-0.139,0.056,-0.127,Monday,20240812,CAD16613
16615,15:00:00,CAD,Thomson Reuters IPSOS PCSI (MoM) (Aug),50.06,,46.97,Wednesday,20240814,CAD16615
16617,12:30:00,CAD,New Motor Vehicle Sales (MoM) (Jun),168.0K,,184.7K,Thursday,20240815,CAD16617
16618,12:30:00,CAD,Wholesale Sales (MoM) (Jun),-0.006,-0.006,-0.012,Thursday,20240815,CAD16618
16620,12:15:00,CAD,Housing Starts (Jul),279.5K,246.0K,241.6K,Friday,20240816,CAD16620
16621,12:30:00,CAD,Foreign Securities Purchases (Jun),5.17B,15.90B,21.07B,Friday,20240816,CAD16621
16622,12:30:00,CAD,Foreign Securities Purchases by Canadians (Jun),16.350B,,3.760B,Friday,20240816,CAD16622
16623,12:30:00,CAD,Manufacturing Sales (MoM) (Jun),-0.021,-0.026,0.002,Friday,20240816,CAD16623
16624,19:30:00,CAD,CFTC CAD speculative net positions,-179.6K,,-181.6K,Friday,20240816,CAD16624
16626,14:53:00,CAD,BoC Senior Loan Officer Survey (Q2),6.9,,2.6,Monday,20240819,CAD16626
16628,12:30:00,CAD,Common CPI (YoY) (Jul),0.022,0.022,0.023,Tuesday,20240820,CAD16628
16629,12:30:00,CAD,Core CPI (YoY) (Jul),0.017,,0.019,Tuesday,20240820,CAD16629
16630,12:30:00,CAD,Core CPI (MoM) (Jul),0.003,,-0.001,Tuesday,20240820,CAD16630
16631,12:30:00,CAD,CPI (MoM) (Jul),0.004,0.004,-0.001,Tuesday,20240820,CAD16631
16632,12:30:00,CAD,CPI (YoY) (Jul),0.025,0.025,0.027,Tuesday,20240820,CAD16632
16633,12:30:00,CAD,Median CPI (YoY) (Jul),0.024,0.025,0.026,Tuesday,20240820,CAD16633
16634,12:30:00,CAD,New Housing Price Index (MoM) (Jul),0.002,0,-0.002,Tuesday,20240820,CAD16634
16635,12:30:00,CAD,Trimmed CPI (YoY) (Jul),0.027,0.028,0.028,Tuesday,20240820,CAD16635
16637,12:30:00,CAD,IPPI (MoM) (Jul),0,-0.003,-0.001,Wednesday,20240821,CAD16637
16638,12:30:00,CAD,IPPI (YoY) (Jul),0.029,,0.029,Wednesday,20240821,CAD16638
16639,12:30:00,CAD,RMPI (MoM) (Jul),0.007,-0.007,-0.017,Wednesday,20240821,CAD16639
16640,12:30:00,CAD,RMPI (YoY) (Jul),0.041,,0.072,Wednesday,20240821,CAD16640
16642,12:30:00,CAD,Core Retail Sales (MoM) (Jun),0.003,-0.002,-0.012,Friday,20240823,CAD16642
16643,12:30:00,CAD,Corporate Profits (QoQ),0.015,,0.01,Friday,20240823,CAD16643
16644,12:30:00,CAD,Manufacturing Sales (MoM) (Jul),0.011,,-0.021,Friday,20240823,CAD16644
16645,12:30:00,CAD,Retail Sales (MoM) (Jun),-0.003,-0.003,-0.008,Friday,20240823,CAD16645
16646,19:30:00,CAD,CFTC CAD speculative net positions,-164.4K,,-179.6K,Friday,20240823,CAD16646
16648,12:30:00,CAD,Wholesale Sales (MoM) (Jul),-0.011,,-0.006,Tuesday,20240827,CAD16648
16650,12:30:00,CAD,Average Weekly Earnings (YoY) (Jun),0.0399,,0.0411,Thursday,20240829,CAD16650
16651,12:30:00,CAD,Current Account (Q2),-8.5B,-6.0B,-5.4B,Thursday,20240829,CAD16651
16653,12:30:00,CAD,GDP Implicit Price (QoQ) (Q2),0.011,,-0.003,Friday,20240830,CAD16653
16654,12:30:00,CAD,GDP (MoM) (Jun),0,0.001,0.001,Friday,20240830,CAD16654
16655,12:30:00,CAD,GDP (YoY) (Q2),0.0091,,0.0056,Friday,20240830,CAD16655
16656,12:30:00,CAD,GDP (QoQ) (Q2),0.005,,0.004,Friday,20240830,CAD16656
16657,12:30:00,CAD,GDP Annualized (QoQ) (Q2),0.021,0.016,0.018,Friday,20240830,CAD16657
16658,12:31:00,CAD,GDP (MoM) (Jul),0,,0.001,Friday,20240830,CAD16658
